Pidgin,Grammatical Type,Script,True Transcription,Skyhawk Orthography,English Translation,set,pack
zgwD,noun,zgD,zohwdz,zōẓ,tiredness,,
zgws,verb,zgs,zohws,zōs,deliver,,
zgwT,verb,zgT,zohwts,zōṣ,arrest,,
zgwx,noun,zgx,zohwsh,zōš,guest,,
zgwz,noun,zgz,zohwz,zōz,"letter, message",,
zgy,verb,zB,zoi,zoi,"build, construct",,
zgyD,noun,zBD,zoidz,zoiẓ,thunder,,
zgyN,noun,zBN,zoing,zoiŋ,ferret,,
zgyn,noun,zBn,zoin,zoin,otter,,
zgyq,noun,zBq,zoith,zoiθ,intestine,,
zi,noun,zi,zih,zi,morning (post-dawn),,
ziD,noun,ziD,zihdz,ziẓ,protist,,
ziJ,verb,ziJ,zihj,zij,harass,,
zilD,verb,zID,zildz,zilẓ,compete,,
ziln,noun,zIn,ziln,ziln,constitution,,
zilp,verb,zIp,zilp,zilp,land-on,,
zilQ,noun,zIQ,zildth,zilð,visibility,,
zilT,noun,zIT,zilts,zilṣ,equilibrium,,
zilx,noun,zIx,zilsh,zilš,"shame, embarrassment",,
zip,noun,zip,zihp,zip,"beverage, drink",food,
zir,verb,zV,zeer,zēr,rebel-against,,
zirv,noun,zVv,zeerv,zērv,torpedo,,
ziT,noun,ziT,zihts,ziṣ,word,,
zof,verb,zof,zof,zof,measure,,
zoJ,verb,zoJ,zoj,zoj,emit,,
zol,verb,zO,zall,zol,use,,
zolf,verb,zOf,zallf,zolf,weigh,,
zolj,noun,zOj,zallch,zolč,"level, stage (of development)",,
zolm,verb,zOm,zallm,zolm,empathize,,
zon,noun,zon,zon,zon,swaying,,
zop,noun,zop,zop,zop,"dithering, speckled-ness",,
zoq,noun,zoq,zoth,zoθ,"dwarf, midget",,
zoQ,noun,zoQ,zodth,zoð,submarine,,
zorn,noun,zSn,zarn,zarn,dandelion,,
zorq,noun,zSq,zarth,zarθ,console,,
zoy,noun,zZ,zii,zī,peace,,
zoyf,noun,zZf,ziif,zīf,"habit, ritual",,
zoyn,noun,zZn,ziin,zīn,day-and-night (24 hours),,
zoyv,noun,zZv,ziiv,zīv,knife,food,
zr,noun,zr,zur,zur,hour,,
zrN,noun,zrN,zurng,zurŋ,technology,,
zrx,noun,zrx,zursh,zurš,"pulse, throb",,
zu,pronoun,zu,zuh,zu,imperative,pronoun,grammar
zuf,noun,zuf,zuhf,zuf,suit-coat,,
zul,noun,zU,zul,zul,party,,
zulf,noun,zUf,zulf,zulf,roach,,
zulk,noun,zUk,zulk,zulk,chunk,,
zulp,noun,zUp,zulp,zulp,radiation,,
zulz,verb,zUz,zulz,zulz,"allow, permit",,
zuN,noun,zuN,zuhng,zuŋ,farm,,
zuq,noun,zuq,zuhth,zuθ,bracelet,,
zw,noun,zw,zooh,zü,whale,,
zwD,noun,zwD,zoohdz,züẓ,seaweed,,
zwf,noun,zwf,zoohf,züf,liver,,
zwj,noun,zwj,zoohch,züč,"orca, killer whale",,
zwk,noun,zwk,zoohk,zük,wood,,
zwz,noun,zwz,zoohz,züz,syllable,,
zy,noun suffix,zy,zee,zē,resulting,noun suffix,grammar
zyH,noun,zyH,zeekhh,zēħ,irritation,,
zym,noun,zym,zeem,zēm,size,,
zymHy,compound noun,zymHy,zeem-khhee,zēm-ħē,smallness,,
zymTy,compound noun,zymTy,zeem-tsee,zēm-ṣē,largeness,,
zyn,noun,zyn,zeen,zēn,"cleanliness, hygiene",bathroom,home
zyN,noun,zyN,zeeng,zēŋ,sentience,,
zys,noun,zys,zees,zēs,orangutan,,
zyx,noun,zyx,zeesh,zēš,beast (non-sentient being),zoology,science
zyz,noun,zyz,zeez,zēz,relationship (logical),,
